imsProgGui[programName = imsb2ac.p, customer = Tasus, description = Production Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2ad.p, customer = Tasus, description = Inventory Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2ae.p, customer = Tasus, description = Order Pick, updates = , type = Barcoding]
imsProgGui[programName = imsb2af.p, customer = Tasus, description = Order Correct, updates = , type = Barcoding]
imsProgGui[programName = imsb2ag.p, customer = Tasus, description = Location inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2ax.p, customer = Tasus, description = Location inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsl2ac.w, customer = Tasus, description = Serialized Label, updates = None, type = Labeling]
imsProgGui[programName = imsl2ag.w, customer = Tasus, description = Print at Press Labels, updates = , type = Labeling]
imsProgGui[programName = imsu2ae.w, customer = Tasus, description = Shipment Post, updates = create-pl, type = Utilities]
imsProgGui[programName = imsu2af.w, customer = Tasus, description = Serial upload, updates = Serial upload, type = Utilities]
